1941610 koenigsegg cpu: 0.158235 ,  gpu: 0.003703 
1941610 koenigsegg cpu: 0.161021 ,  gpu: 0.008908 
1941610 koenigsegg cpu: 0.159898 ,  gpu: 0.010240 
1941610 koenigsegg cpu: 0.158188 ,  gpu: 0.007545 
1941610 koenigsegg cpu: 0.160469 ,  gpu: 0.009091 
1941610 koenigsegg cpu: 0.159007 ,  gpu: 0.006793 
1941610 koenigsegg cpu: 0.161543 ,  gpu: 0.008247 
1941610 koenigsegg cpu: 0.159793 ,  gpu: 0.009836 
1941610 koenigsegg cpu: 0.158167 ,  gpu: 0.007494 
1941610 koenigsegg cpu: 0.160457 ,  gpu: 0.009205 
1941610 koenigsegg cpu: 0.159002 ,  gpu: 0.006859 
1941610 koenigsegg cpu: 0.165135 ,  gpu: 0.008267 
1941610 koenigsegg cpu: 0.159915 ,  gpu: 0.003677 
1941610 koenigsegg cpu: 0.158313 ,  gpu: 0.007384 
1941610 koenigsegg cpu: 0.160895 ,  gpu: 0.008879 
1941610 koenigsegg cpu: 0.159145 ,  gpu: 0.006507 
1941610 koenigsegg cpu: 0.157886 ,  gpu: 0.008148 
1941610 koenigsegg cpu: 0.160434 ,  gpu: 0.009464 
1941610 koenigsegg cpu: 0.159300 ,  gpu: 0.006776 
2304000 lamborghini cpu: 0.246806 ,  gpu: 0.004368 
2304000 lamborghini cpu: 0.171727 ,  gpu: 0.004269 
2304000 lamborghini cpu: 0.171768 ,  gpu: 0.004236 
2304000 lamborghini cpu: 0.171899 ,  gpu: 0.004245 
2304000 lamborghini cpu: 0.171628 ,  gpu: 0.004253 
2304000 lamborghini cpu: 0.171842 ,  gpu: 0.004253 
2304000 lamborghini cpu: 0.122301 ,  gpu: 0.004257 
2304000 lamborghini cpu: 0.168232 ,  gpu: 0.004250 
2304000 lamborghini cpu: 0.169578 ,  gpu: 0.004240 
2304000 lamborghini cpu: 0.170296 ,  gpu: 0.004239 
2304000 lamborghini cpu: 0.170814 ,  gpu: 0.004242 
2304000 lamborghini cpu: 0.171722 ,  gpu: 0.004248 
2304000 lamborghini cpu: 0.168977 ,  gpu: 0.004275 
2304000 lamborghini cpu: 0.169880 ,  gpu: 0.004247 
2304000 lamborghini cpu: 0.171003 ,  gpu: 0.004234 
2304000 lamborghini cpu: 0.173130 ,  gpu: 0.004244 
2304000 lamborghini cpu: 0.169454 ,  gpu: 0.004239 
2304000 lamborghini cpu: 0.170754 ,  gpu: 0.004253 
2304000 lamborghini cpu: 0.167850 ,  gpu: 0.004236 
2304000 lamborghini cpu: 0.168610 ,  gpu: 0.004259 
24000000 maserati cpu: 0.594627 ,  gpu: 0.034579 
24000000 maserati cpu: 0.366425 ,  gpu: 0.034122 
24000000 maserati cpu: 0.428056 ,  gpu: 0.034078 
24000000 maserati cpu: 0.412468 ,  gpu: 0.034219 
24000000 maserati cpu: 0.420045 ,  gpu: 0.034212 
24000000 maserati cpu: 0.387583 ,  gpu: 0.034017 
24000000 maserati cpu: 0.392767 ,  gpu: 0.034018 
24000000 maserati cpu: 0.362999 ,  gpu: 0.034081 
24000000 maserati cpu: 0.361629 ,  gpu: 0.034207 
24000000 maserati cpu: 0.373949 ,  gpu: 0.034073 
24000000 maserati cpu: 0.392677 ,  gpu: 0.034239 
24000000 maserati cpu: 0.363212 ,  gpu: 0.034236 
24000000 maserati cpu: 0.364976 ,  gpu: 0.034071 
24000000 maserati cpu: 0.365816 ,  gpu: 0.034070 
24000000 maserati cpu: 0.387278 ,  gpu: 0.034219 
24000000 maserati cpu: 0.364588 ,  gpu: 0.034058 
24000000 maserati cpu: 0.356797 ,  gpu: 0.034199 
24000000 maserati cpu: 0.373711 ,  gpu: 0.034216 
24000000 maserati cpu: 0.364481 ,  gpu: 0.034227 
24000000 maserati cpu: 0.380957 ,  gpu: 0.034231 
2304000 nissan cpu: 0.248261 ,  gpu: 0.004283 
2304000 nissan cpu: 0.169475 ,  gpu: 0.004259 
2304000 nissan cpu: 0.172907 ,  gpu: 0.004230 
2304000 nissan cpu: 0.169395 ,  gpu: 0.004239 
2304000 nissan cpu: 0.170104 ,  gpu: 0.004230 
2304000 nissan cpu: 0.173741 ,  gpu: 0.004238 
2304000 nissan cpu: 0.169978 ,  gpu: 0.004238 
2304000 nissan cpu: 0.170359 ,  gpu: 0.004215 
2304000 nissan cpu: 0.170490 ,  gpu: 0.004216 
2304000 nissan cpu: 0.170272 ,  gpu: 0.004224 
2304000 nissan cpu: 0.170849 ,  gpu: 0.004220 
2304000 nissan cpu: 0.171481 ,  gpu: 0.004224 
2304000 nissan cpu: 0.173847 ,  gpu: 0.004224 
2304000 nissan cpu: 0.172165 ,  gpu: 0.004228 
2304000 nissan cpu: 0.172374 ,  gpu: 0.004227 
2304000 nissan cpu: 0.173141 ,  gpu: 0.004239 
2304000 nissan cpu: 0.169505 ,  gpu: 0.004244 
2304000 nissan cpu: 0.169599 ,  gpu: 0.004237 
2304000 nissan cpu: 0.169946 ,  gpu: 0.004242 
2304000 nissan cpu: 0.170331 ,  gpu: 0.004317 
17226287 pagani cpu: 0.492822 ,  gpu: 0.024719 
17226287 pagani cpu: 0.325216 ,  gpu: 0.025050 
17226287 pagani cpu: 0.319264 ,  gpu: 0.024835 
17226287 pagani cpu: 0.320883 ,  gpu: 0.024762 
17226287 pagani cpu: 0.315373 ,  gpu: 0.024819 
