1941610 koenigsegg cpu: 0.166270 ,  gpu: 0.003416 
1941610 koenigsegg cpu: 0.161401 ,  gpu: 0.003380 
1941610 koenigsegg cpu: 0.159774 ,  gpu: 0.005603 
1941610 koenigsegg cpu: 0.158598 ,  gpu: 0.007266 
1941610 koenigsegg cpu: 0.161151 ,  gpu: 0.008288 
1941610 koenigsegg cpu: 0.159428 ,  gpu: 0.005998 
1941610 koenigsegg cpu: 0.098319 ,  gpu: 0.007383 
1941610 koenigsegg cpu: 0.161150 ,  gpu: 0.008575 
1941610 koenigsegg cpu: 0.158980 ,  gpu: 0.005821 
1941610 koenigsegg cpu: 0.157939 ,  gpu: 0.007791 
1941610 koenigsegg cpu: 0.159849 ,  gpu: 0.005071 
1941610 koenigsegg cpu: 0.157961 ,  gpu: 0.007105 
1941610 koenigsegg cpu: 0.160986 ,  gpu: 0.008974 
1941610 koenigsegg cpu: 0.159083 ,  gpu: 0.006074 
1941610 koenigsegg cpu: 0.161686 ,  gpu: 0.007877 
1941610 koenigsegg cpu: 0.160297 ,  gpu: 0.009338 
1941610 koenigsegg cpu: 0.159328 ,  gpu: 0.006561 
1941610 koenigsegg cpu: 0.157998 ,  gpu: 0.007663 
1941610 koenigsegg cpu: 0.160379 ,  gpu: 0.008975 
2304000 lamborghini cpu: 0.252808 ,  gpu: 0.003690 
2304000 lamborghini cpu: 0.170384 ,  gpu: 0.003636 
2304000 lamborghini cpu: 0.172332 ,  gpu: 0.003296 
2304000 lamborghini cpu: 0.169046 ,  gpu: 0.003301 
2304000 lamborghini cpu: 0.170683 ,  gpu: 0.003306 
2304000 lamborghini cpu: 0.171882 ,  gpu: 0.003298 
2304000 lamborghini cpu: 0.172912 ,  gpu: 0.003294 
2304000 lamborghini cpu: 0.170601 ,  gpu: 0.003304 
2304000 lamborghini cpu: 0.171772 ,  gpu: 0.003290 
2304000 lamborghini cpu: 0.171600 ,  gpu: 0.003298 
2304000 lamborghini cpu: 0.168845 ,  gpu: 0.003295 
2304000 lamborghini cpu: 0.170673 ,  gpu: 0.003301 
