1941610 koenigsegg cpu: 0.158392 ,  gpu: 0.002525 
1941610 koenigsegg cpu: 0.167862 ,  gpu: 0.006501 
1941610 koenigsegg cpu: 0.159092 ,  gpu: 0.002452 
1941610 koenigsegg cpu: 0.159133 ,  gpu: 0.006487 
1941610 koenigsegg cpu: 0.167044 ,  gpu: 0.006522 
1941610 koenigsegg cpu: 0.160521 ,  gpu: 0.002499 
1941610 koenigsegg cpu: 0.163140 ,  gpu: 0.002474 
1941610 koenigsegg cpu: 0.156474 ,  gpu: 0.006100 
1941610 koenigsegg cpu: 0.166537 ,  gpu: 0.006509 
1941610 koenigsegg cpu: 0.159327 ,  gpu: 0.002483 
1941610 koenigsegg cpu: 0.169519 ,  gpu: 0.002494 
1941610 koenigsegg cpu: 0.166235 ,  gpu: 0.002501 
1941610 koenigsegg cpu: 0.159213 ,  gpu: 0.002471 
1941610 koenigsegg cpu: 0.158831 ,  gpu: 0.006664 
1941610 koenigsegg cpu: 0.158449 ,  gpu: 0.005131 
1941610 koenigsegg cpu: 0.159055 ,  gpu: 0.006482 
1941610 koenigsegg cpu: 0.161148 ,  gpu: 0.008378 
1941610 koenigsegg cpu: 0.160924 ,  gpu: 0.002470 
1941610 koenigsegg cpu: 0.158668 ,  gpu: 0.005400 
2304000 lamborghini cpu: 0.254450 ,  gpu: 0.002873 
2304000 lamborghini cpu: 0.170506 ,  gpu: 0.002834 
2304000 lamborghini cpu: 0.172563 ,  gpu: 0.002825 
2304000 lamborghini cpu: 0.170793 ,  gpu: 0.002817 
2304000 lamborghini cpu: 0.172580 ,  gpu: 0.002824 
2304000 lamborghini cpu: 0.170766 ,  gpu: 0.002815 
2304000 lamborghini cpu: 0.171402 ,  gpu: 0.002816 
2304000 lamborghini cpu: 0.169643 ,  gpu: 0.002795 
2304000 lamborghini cpu: 0.137493 ,  gpu: 0.002810 
2304000 lamborghini cpu: 0.169047 ,  gpu: 0.002840 
2304000 lamborghini cpu: 0.171401 ,  gpu: 0.002872 
2304000 lamborghini cpu: 0.169085 ,  gpu: 0.002785 
2304000 lamborghini cpu: 0.171363 ,  gpu: 0.002818 
2304000 lamborghini cpu: 0.168982 ,  gpu: 0.002800 
2304000 lamborghini cpu: 0.171245 ,  gpu: 0.002817 
2304000 lamborghini cpu: 0.169101 ,  gpu: 0.002834 
2304000 lamborghini cpu: 0.171011 ,  gpu: 0.002802 
2304000 lamborghini cpu: 0.168835 ,  gpu: 0.002839 
2304000 lamborghini cpu: 0.170869 ,  gpu: 0.002820 
2304000 lamborghini cpu: 0.172319 ,  gpu: 0.002820 
24000000 maserati cpu: 0.590923 ,  gpu: 0.019488 
24000000 maserati cpu: 0.388775 ,  gpu: 0.019756 
24000000 maserati cpu: 0.381495 ,  gpu: 0.019457 
24000000 maserati cpu: 0.384088 ,  gpu: 0.019245 
24000000 maserati cpu: 0.383741 ,  gpu: 0.019289 
24000000 maserati cpu: 0.411596 ,  gpu: 0.019234 
24000000 maserati cpu: 0.378696 ,  gpu: 0.019296 
24000000 maserati cpu: 0.353105 ,  gpu: 0.019395 
24000000 maserati cpu: 0.377185 ,  gpu: 0.019309 
24000000 maserati cpu: 0.420101 ,  gpu: 0.019469 
24000000 maserati cpu: 0.403173 ,  gpu: 0.019334 
24000000 maserati cpu: 0.381271 ,  gpu: 0.019407 
24000000 maserati cpu: 0.381939 ,  gpu: 0.019465 
24000000 maserati cpu: 0.411487 ,  gpu: 0.019385 
24000000 maserati cpu: 0.381578 ,  gpu: 0.019423 
24000000 maserati cpu: 0.383801 ,  gpu: 0.019370 
24000000 maserati cpu: 0.379086 ,  gpu: 0.019671 
24000000 maserati cpu: 0.379706 ,  gpu: 0.019244 
24000000 maserati cpu: 0.396165 ,  gpu: 0.019321 
24000000 maserati cpu: 0.418962 ,  gpu: 0.019446 
